image_path,question,answer
1a/1a002005.jpg,What is the item's color?,Chrome
1a/1a002005.jpg,What is the finish on the handle?,Chrome
1a/1a004b01.jpg,What color is the handle?,Red
1a/1a004b01.jpg,What color is the handle being used to brush the dog?,Red
1a/1a00785d.jpg,What color are the bags?,Black
1a/1a00785d.jpg,What color is the trim around the mesh on the packing cubes?,Blue
1a/1a008eb7.jpg,What color are the bottles?,White
1a/1a008eb7.jpg,"What word is immediately above the words ""Fabric Softener"" on the label of the bottle in the foreground?",Amazonbasics
1a/1a00bf90.jpg,What color is the sofa?,Gray
1a/1a00bf90.jpg,What color is most dominant in the fabric's weave?,Gray
1a/1a00d673.jpg,What color is the phone case?,Gold
1a/1a00d673.jpg,What geometrical shape is the chrome area for camera lens?,Rectangle
1a/1a00e1f4.jpg,What is the net's color?,White
1a/1a00e1f4.jpg,What color is the material connecting the base to the frame on the rightmost net?,Black
1a/1a00ea4f.jpg,What color is the table top?,White
1a/1a00ea4f.jpg,What is the material of the support bands connecting the legs?,Metal
1a/1a010036.jpg,What color is the shoe?,Black
1a/1a010036.jpg,What is printed on the sole of the shoe?,Collection
1a/1a014a13.jpg,What color is the chain?,Silver
1a/1a014a13.jpg,What metal is written on the clasp?,Platinum
1a/1a016f07.jpg,What color is the dress?,Pink
1a/1a016f07.jpg,What shape is the flower directly above the person's head?,Star
1a/1a018d68.jpg,What color is the flower?,Blue
1a/1a018d68.jpg,How many stamen do the largest flowers have?,Five
1a/1a01b193.jpg,What color is the case?,Black
1a/1a01b193.jpg,What geometric shape is the cutout at the top-left?,Rectangle
1a/1a02331e.jpg,What color are the boots?,Beige
1a/1a02331e.jpg,What is the material on the padded part around the opening of the boot?,Leather
1a/1a02432a.jpg,What color is the basketball?,Colorful
1a/1a02432a.jpg,What is the diameter-indicating number near the bottom right?,Seven
1a/1a024bee.jpg,What shape is the bench?,Corner
1a/1a024bee.jpg,What is the dimension of the smaller side of the bench according to the diagram?,1034mm
1a/1a0260d2.jpg,What shape is visible?,Heart
1a/1a0260d2.jpg,What material is the phone case made of?,Silicon
1a/1a02c30d.jpg,What is on the hand?,Ring
1a/1a02c30d.jpg,What type of gemstone is embedded within the ring?,Sapphire
1a/1a02ed5e.jpg,What color is the charger?,White
1a/1a02ed5e.jpg,What is the colour of the wall charger?,White
1a/1a030c9e.jpg,What color are the rainbows?,Multicolor
1a/1a030c9e.jpg,"How many clouds, with rainbow on top, have at least three rainbow arches?",Five
1a/1a0327d3.jpg,What color is the case?,Multicolor
1a/1a0327d3.jpg,What shape are the holes on the left side of the case?,Circles
1a/1a037828.jpg,What color is the case?,Gray
1a/1a037828.jpg,What is the color of the ring around the upper left hole?,Gold
1a/1a037916.jpg,What color is the table?,Blue
1a/1a037916.jpg,What color are the pockets located on the corners of the pool table?,Black
1a/1a038854.jpg,What color is the block?,Pink
1a/1a038854.jpg,What material makes up the block below the tire?,Foam
1a/1a03ce05.jpg,What color are the shelves?,Brown
1a/1a03ce05.jpg,What geometric shape do the metal supports on the second shelf from the top form?,X
1a/1a03e296.jpg,What color is the phone case?,Multicolor
1a/1a03e296.jpg,What is the colour of the upper left module?,Black
1a/1a041e7f.jpg,What color is the frame?,Barnwood
1a/1a041e7f.jpg,What architectural feature is directly above the doorway in the left-side picture?,Transom
1a/1a043eca.jpg,What color is the stool?,Black
1a/1a043eca.jpg,How many vertical rods are present in the backrest?,Seven
1a/1a0454c1.jpg,What color is the mouse?,Black
1a/1a0454c1.jpg,What brand is printed on the upper right side of the object?,AmazonBasics
1a/1a047603.jpg,What is this item?,Hanger
1a/1a047603.jpg,"What material is the ""S"" shaped part of the hanger constructed from?",Metal
1a/1a048f21.jpg,What color is the cable?,Pink
1a/1a048f21.jpg,What shape is the top of the USB connector?,Rectangle
1a/1a04a3a8.jpg,What color is the candle?,Red
1a/1a04a3a8.jpg,What shape is the candle?,Square
1a/1a04cc5f.jpg,Is this a car?,Yes
1a/1a04cc5f.jpg,"Based on the provided metadata, what material is used to manufacture the paint protection film?",Silicon
1a/1a04f52c.jpg,What color is the handle?,Black
1a/1a04f52c.jpg,What material is the folding saw's fine handle made from?,TPR
1a/1a05565e.jpg,What color is the phone case?,Multicolored
1a/1a05565e.jpg,"Excluding the black camera lenses, what color is the primary spot just above the phone's logo?",Orange
1a/1a0584d4.jpg,What is the color of the blocks?,Wooden
1a/1a0584d4.jpg,How many crowns can you count at the top of the tallest object?,Five
1a/1a05a9a3.jpg,What shape is the pillow?,Heart
1a/1a05a9a3.jpg,How many dots are on the pink heart?,Thirteen
1a/1a05aa28.jpg,What is this product for?,Sleep
1a/1a05aa28.jpg,What word is above 'GMP'?,Certified
1a/1a05b9dc.jpg,What is the color of the background?,Black
1a/1a05b9dc.jpg,What is the color of the floral design on the phone cover?,White
1a/1a062d44.jpg,What shape is the shade?,Dome
1a/1a062d44.jpg,What type of metal is used to create the sphere-shaped shade?,Chrome
1a/1a066e28.jpg,What color is the set?,White
1a/1a066e28.jpg,How many pieces are intended to protect the controllers?,Four
1a/1a06970b.jpg,What color is the case?,Brown
1a/1a06970b.jpg,What color is the lining visible inside the camera cutout?,Black
1a/1a06abbd.jpg,What color is the chair?,Brown
1a/1a06abbd.jpg,What shape does the tufting on the chair back primarily form?,Diamond
1a/1a06ee51.jpg,What is being held?,Phone
1a/1a06ee51.jpg,What kind of pattern does the back of the phone case have?,Star
1a/1a06f19a.jpg,What color is the napkin?,White
1a/1a06f19a.jpg,How many plies are there in a single sheet?,Two
1a/1a070129.jpg,What color are the flowers?,Pink
1a/1a070129.jpg,What is the color of the beak of the bird perched on the right?,Yellow
1a/1a0747a4.jpg,What word is displayed?,LOVE
1a/1a0747a4.jpg,What type of bead is attached to the peace symbol?,Crystal
1a/1a075763.jpg,What is the color of the boot?,Blue
1a/1a075763.jpg,What shape would you consider the heel of the boot to be?,Stiletto
1a/1a079ddf.jpg,What is the color?,Red
1a/1a079ddf.jpg,What is the hue of the waves?,Red
1a/1a07a115.jpg,Is there an HDMI connector?,Yes
1a/1a07a115.jpg,What label is below the HDMI port?,HDMI
1a/1a07b053.jpg,What color is the bedsheet?,Blue
1a/1a07b053.jpg,"Based on the thread count mentioned in the metadata, what is the woven type of the fabric?",Percale
1a/1a07ef95.jpg,How many hats are visible?,Four
1a/1a07ef95.jpg,What is the color of the topmost band on the left mitten?,Navy
1a/1a089e45.jpg,What is the color of the water?,Blue
1a/1a089e45.jpg,What is the most prominent color of the water?,Turquoise
1a/1a08a2f0.jpg,What color is the shoe?,Green
1a/1a08a2f0.jpg,What is written in cursive on the insole of the shoe?,Chadstone
1a/1a08bf8f.jpg,What color is the chair?,Cream
