image_path,question,answer
64/6412af43.jpg,What is the visible color of the chair?,Gray
64/6412af43.jpg,What is the average height of the back legs in inches?,4.125
64/64acb3aa.jpg,What kind of food is in the package?,Tortillas
64/64acb3aa.jpg,How many tortillas in total can the packaging hold?,Six
64/64c3be6d.jpg,What is the display called?,Monitor
64/64c3be6d.jpg,What is the written name of the connector shown on the upper-right side of the eono rectangle?,HDMI
64/645e9bbe.jpg,Is the rug rolled?,Yes
64/645e9bbe.jpg,What material is found on the inside layer of the curled part?,Fiber
64/64119d18.jpg,What color is the rug?,Blue
64/64119d18.jpg,What material is the rug's backing made of?,Latex
64/6458ec96.jpg,What color is the container?,White
64/6458ec96.jpg,What is the second word on the side of the cardboard box?,Brand
64/6450075e.jpg,What word is on the case?,Daddy's
64/6450075e.jpg,What pattern is used to outline the letters in 'DADDY'S'?,Cheetah
64/6408ab8f.jpg,What does the charm say?,LOVE
64/6408ab8f.jpg,What geometrical shape is at the bottom of the jewelry on the phone?,Circle
64/6440d652.jpg,What color is the blender?,White
64/6440d652.jpg,How many blades does the immersion blender have?,Two
64/64788f89.jpg,What flavor is the chocolate?,Dark
64/64788f89.jpg,What word is directly above 'Packed' in the description?,Bark
64/6499761d.jpg,What animal is on the case?,Panda
64/6499761d.jpg,How many panda groups are vertically aligned?,Three
64/641e4201.jpg,What color is the shoe?,Silver
64/641e4201.jpg,What is the shape of the studs?,Round
64/644b6d80.jpg,What material is the tool made of?,Steel
64/644b6d80.jpg,What material is the frame of the multitool made of?,Aluminum
64/644f8a5c.jpg,How many chairs are visible?,Three
64/644f8a5c.jpg,What color are the frames on the chair farthest to the right?,Black
64/645e0d9a.jpg,What color is the suitcase?,Black
64/645e0d9a.jpg,How many wheel axles can be seen on the bottom of the luggage?,Two
64/64896d25.jpg,What is the color of the dress?,Pink
64/64896d25.jpg,How many camera lenses are visible on the phone?,Three
64/64e43659.jpg,What letter is on the phone?,U
64/64e43659.jpg,What letter is located on the center of the back of the phone?,U
64/6448fd42.jpg,What color is the chair?,Brown
64/6448fd42.jpg,What color are the legs of the Rivet Jamie Mid-Century Low Arm Accent Chair?,Black
64/64bb886d.jpg,What color is the sole?,Black
64/64bb886d.jpg,What shape do the patterns of the sole resemble?,Diamonds
64/64ca4423.jpg,What shape is the object?,Round
64/64ca4423.jpg,What texture does the darker outer material of this product have?,Corduroy
64/6418c34a.jpg,What letter is shown?,P
64/6418c34a.jpg,How many visible metal rivets are present on the denim patch?,Four
64/643e8682.jpg,What is inside the tube?,Cream
64/643e8682.jpg,What is the value expressed as a number of the SPF protection this product claims to provide?,Ten
64/64c0e3ef.jpg,What color is the filter?,White
64/64c0e3ef.jpg,"How many months can this specific model of UMI water filter provide fresh, clean water when used at its high capacity?",Six
64/648c6b4d.jpg,What kind of earring is visible?,Stud
64/648c6b4d.jpg,What is the shape of the post backing on the earring?,Friction
64/640d1892.jpg,What is the color of the bottle?,Brown
64/640d1892.jpg,"According to the Supplement Facts, what is the serving size of the Vegan Capsule?",One
64/644df837.jpg,What is the color of the liquid?,Yellow
64/644df837.jpg,What is the sodium content information given for?,Serving
64/64a1f4a7.jpg,What color is the button?,Red
64/64a1f4a7.jpg,What kind of connector is shown in the lower section of the image?,USB
64/640ff653.jpg,What color is the fabric?,Gray
64/640ff653.jpg,What is the material that forms the decorative flourish around the edge of the pillow?,Ruffle
